
160.0,123.0,239.0,105.0,Ropa
156.0,84.0,440.0,465.0,Alimentos
375.0,76.0,363.0,250.0,Alimentos
206.0,37.0,330.0,375.0,Alimentos
237.0,482.0,496.0,266.0,Libros
10.0,229.0,305.0,203.0,Ropa
384.0,209.0,457.0,460.0,Libros
147.0,190.0,262.0,211.0,Alimentos
159.0,444.0,52.0,276.0,Alimentos
256.0,466.0,310.0,44.0,Alimentos
20.0,269.0,174.0,184.0,Ropa
497.0,475.0,217.0,68.0,Libros
160.0,347.0,238.0,92.0,Alimentos
86.0,402.0,96.0,305.0,Alimentos
330.0,373.0,88.0,355.0,Alimentos
53.0,298.0,337.0,258.0,Alimentos
17.0,271.0,317.0,155.0,Ropa
41.0,405.0,351.0,316.0,Alimentos
395.0,231.0,441.0,170.0,Libros
367.0,46.0,18.0,8.0,Ropa
146.0,383.0,381.0,233.0,Alimentos
216.0,61.0,213.0,81.0,Ropa
397.0,67.0,52.0,324.0,Alimentos
250.0,280.0,6.0,121.0,Ropa
148.0,499.0,40.0,198.0,Alimentos
276.0,150.0,380.0,218.0,Alimentos
31.0,321.0,13.0,484.0,Alimentos
480.0,381.0,96.0,354.0,Libros
458.0,139.0,13.0,48.0,Ropa
222.0,305.0,20.0,352.0,Alimentos
341.0,4.0,245.0,275.0,Ropa
283.0,474.0,429.0,50.0,Libros
326.0,91.0,2.0,123.0,Ropa
71.0,203.0,174.0,430.0,Alimentos
56.0,225.0,162.0,391.0,Alimentos
170.0,255.0,202.0,236.0,Alimentos
444.0,206.0,365.0,289.0,Libros
50.0,377.0,384.0,50.0,Alimentos
498.0,7.0,124.0,307.0,Alimentos
298.0,448.0,66.0,426.0,Alimentos
421.0,75.0,445.0,426.0,Libros
109.0,318.0,182.0,348.0,Alimentos
378.0,148.0,53.0,6.0,Ropa
495.0,230.0,83.0,204.0,Alimentos
346.0,16.0,313.0,297.0,Alimentos
183.0,268.0,365.0,349.0,Alimentos
133.0,485.0,140.0,369.0,Alimentos
95.0,280.0,71.0,40.0,Ropa
431.0,11.0,42.0,282.0,Ropa
49.0,3.0,375.0,236.0,Ropa
386.0,486.0,319.0,67.0,Libros
405.0,283.0,242.0,281.0,Libros
409.0,87.0,112.0,241.0,Alimentos
133.0,240.0,111.0,245.0,Ropa
204.0,497.0,243.0,84.0,Alimentos
364.0,415.0,190.0,377.0,Libros
451.0,70.0,277.0,88.0,Alimentos
108.0,209.0,474.0,446.0,Libros
